symbol,atomic_number,topogivity,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,en_ghosh,c6_gb,atomic_weight,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,column,atomic_masses,valence_d,valence_s,unfilled_f,valence_p,unfilled_d,valence_f,unfilled,T_boil,cohesive_energy,polarizability,electron_binding_energy,ionization_energy,en,lambda,ar,Tc,mag,ve,mp
Fm,100,0,290,,,,113,,2,,,,,7,10,,,245,167,,,,,0.22485,,257,36,20,37,44,3,257.09511,0,2,2,0,0,12,2,,,23.8,17,6.5,1.3,0.021,,,2,14,1800
Md,101,0,287,,,,109,,2,,,,,7,10,,,246,173,,,,,0.23542,,258,38,20,36,45,3,258.09843,0,2,1,0,0,13,1,,,18.2,17,6.58,1.3,0.036,,,1,15,1100
No,102,0,285,,,,110,,2,,,,,7,10,,,246,176,,,,,0.246,,259,40,6,35,46,3,259.101,0,2,0,0,0,14,0,,,16.4,18,6.65,1.3,0.306,,,0,16,1100
Lr,103,0,282,,,,320,,3,,,,,7,8,,,246,161,,,,,0.24844,,262,42,20,34,47,3,,0,2,,1,,14,,,,,,,1.3,,,,,,1900
Rf,104,0,,,,,112,,,,,4,,7,8,,,,157,,,,,,,267,46,10,,,,,,,,,,,,,,,,,,,,,,,
Db,105,0,,,,,42,,,,,5,,7,8,,,,149,,,,,,,268,50,4,,,,,,,,,,,,,,,,,,,,,,,
Sg,106,0,,,,,40,,,,,6,,7,8,,,,143,,,,,,,271,54,4,,,,,,,,,,,,,,,,,,,,,,,
Bh,107,0,,,,,38,,,,,7,,7,8,,,,141,,,,,,,274,58,4,,,,,,,,,,,,,,,,,,,,,,,
Hs,108,0,,,,,36,,,,,8,,7,8,,,,134,,,,,,,269,62,4,,,,,,,,,,,,,,,,,,,,,,,
Mt,109,0,,,,,34,,,,,9,,7,8,,,,129,,,,,,,276,66,3,,,,,,,,,,,,,,,,,,,,,,,
Ds,110,0,,,,,32,,,,,10,,7,8,,,,128,,,,,,,281,70,3,,,,,,,,,,,,,,,,,,,,,,,
Rg,111,0,,,,,32,,,,,11,,7,8,,,,121,,,,,,,281,74,6,,,,,,,,,,,,,,,,,,,,,,,
Cn,112,0,,,,,28,,,,,12,,7,8,,,,122,,,,,,,285,80,2,,,,,,,,,,,,,,,,,,,,,,,
Nh,113,0,,,,,29,,,,,13,,7,7,,,,136,,,,,,,286,86,2,,,,,,,,,,,,,,,,,,,,,,,
Fl,114,0,,,,,31,,,,,14,,7,7,,,,143,,,,,,,289,92,4,,,,,,,,,,,,,,,,,,,,,,,
Mc,115,0,,,,,71,,,,,15,,7,7,,,,162,,,,,,,288,98,20,,,,,,,,,,,,,,,,,,,,,,,
Lv,116,0,,,,,,,,,,16,,7,7,,,,175,,,,,,,293,104,,,,,,,,,,,,,,,,,,,,,,,,
Ts,117,0,,,,,76,,,,,17,,7,6,,,,165,,,,,,,294,111,15,,,,,,,,,,,,,,,,,,,,,,,
Og,118,0,,,,,58,0.056,,,,18,,7,2,,,,157,,,,,,,294,118,6,,,,,,,,,,,,,,,,,,,,,,,
